station_name,region,operator,tlc,entries_exits_total,entries_exits_full,entries_exits_reduced,entries_exits_season,interchanges,rank
Ormskirk,North West,Merseyrail,OMS,2297090,388394,1539400,369296,24090,257
Grove Park,London,Southeastern,GRP,2296634,731334,1081382,483918,364629,258
Lincoln,East Midlands,East Midlands Railway,LCN,2286040,634314,1502188,149538,19773,259
Blackheath,London,Southeastern,BKH,2278510,750952,1209136,318422,7933,260
Banbury,South East,Chiltern Railways,BAN,2269872,540888,1460042,268942,220056,261
Norbiton,London,South Western Railway,NBT,2269820,821258,1116156,332406,0,262
Woolwich Arsenal,London,Southeastern,WWA,2269060,678352,1201768,388940,0,263
Barnes,London,South Western Railway,BNS,2251810,800566,995166,456078,24911,264
Southend Central,East of England,c2c,SOC,2242080,511014,1144642,586424,1934,265
Farnborough (Main),South East,South Western Railway,FNB,2235212,770010,1050140,415062,11168,266
Lancaster,North West,Avanti West Coast,LAN,2184042,204886,1747686,231470,450228,267
Battersea Park,London,Govia Thameslink Railway (Southern),BAK,2183506,646578,1124942,411986,1524,268
Tulse Hill,London,Govia Thameslink Railway (Southern),TUH,2181520,775308,1067064,339148,390929,269
Worthing,South East,Govia Thameslink Railway (Southern),WRH,2177490,489408,1304090,383992,100194,270
Elephant and Castle,London,Govia Thameslink Railway (Thameslink),EPH,2169236,770672,955178,443386,441903,271
Hastings,South East,Southeastern,HGS,2168544,358716,1260982,548846,33339,272
Liverpool South Parkway,North West,Merseyrail,LPY,2164108,383928,1463828,316352,231539,273
High Wycombe,South East,Chiltern Railways,HWY,2160748,674000,1169380,317368,75476,274
Silver Street,London,London Overground,SLV,2136452,714180,1153158,269114,0,275
Clapton,London,London Overground,CPT,2130232,669484,1208754,251994,0,276
Portsmouth Harbour,South East,South Western Railway,PMH,2091304,405892,1487988,197424,44300,277
Havant,South East,South Western Railway,HAV,2082866,493866,1297648,291352,282970,278
Fratton,South East,South Western Railway,FTN,2080340,529008,1369570,181762,80911,279
Blackpool North,North West,Northern Trains,BPN,2065566,201032,1815360,49174,2062,280
Rochester,South East,Southeastern,RTR,2059228,529904,1076266,453058,42930,281
Heathrow Terminal 4 (Rail Station Only),London,Heathrow Express,HAF,2058248,752668,1237292,68288,0,282
New Eltham,London,Southeastern,NEH,2038220,793988,917950,326282,0,283
Chingford,London,London Overground,CHI,2036058,732920,1202578,100560,0,284
Hove,South East,Govia Thameslink Railway (Southern),HOV,2028988,538560,1187206,303222,208086,285
Cardiff Queen Street,Wales,TfW Rail,CDQ,2010584,1572322,102072,336190,630758,286
Salisbury,South West,South Western Railway,SAL,2004688,396690,1378698,229300,247544,287
Weybridge,South East,South Western Railway,WYB,1987922,874562,807398,305962,592146,288
Gunnersbury,London,London Underground,GUN,1961546,787388,867500,306658,0,289
Coulsdon South,London,Govia Thameslink Railway (Southern),CDS,1959570,784096,892502,282972,44387,290
Wood Street,London,London Overground,WST,1938180,682338,1118414,137428,0,291
Laindon,East of England,c2c,LAI,1926978,776914,787260,362804,0,292
Bicester Village,South East,Chiltern Railways,BIT,1925568,263074,1478268,184226,219,293
Witham,East of England,Greater Anglia,WTM,1924032,607096,624532,692404,157630,294
Worcester Foregate Street,West Midlands,West Midlands Trains (West Midlands Railway),WOF,1914248,601728,817070,495450,169971,295
London Fields,London,London Overground,LOF,1911346,609292,1135794,166260,0,296
Meadowhall,Yorkshire and The Humber,Northern Trains,MHS,1910838,462010,1260834,187994,48761,297
Wokingham,South East,South Western Railway,WKM,1902086,563524,1049826,288736,73552,298
Solihull,West Midlands,Chiltern Railways,SOL,1898584,477734,915074,505776,11093,299
Amersham,South East,London Underground,AMR,1892926,780780,1046060,66086,0,300
Kentish Town West,London,London Overground,KTW,1886418,595926,1041086,249406,0,301
Harrogate,Yorkshire and The Humber,Northern Trains,HGT,1879366,315262,1422124,141980,1439,302
Finchley Road and Frognal,London,London Overground,FNY,1876386,571974,963462,340950,0,303
Mill Hill Broadway,London,Govia Thameslink Railway (Thameslink),MIL,1874860,713624,885768,275468,125,304
Alexandra Palace,London,Govia Thameslink Railway (Great Northern),AAP,1855806,616502,1027972,211332,37178,305
