station_name,region,operator,tlc,entries_exits_total,entries_exits_full,entries_exits_reduced,entries_exits_season,interchanges,rank
Tattenham Corner,South East,Govia Thameslink Railway (Southern),TAT,149554,62956,65218,21380,0,1547
St Albans Abbey,East of England,West Midlands Trains (London Northwestern Railway),SAA,149394,25888,119052,4454,3,1548
Banstead,South East,Govia Thameslink Railway (Southern),BAD,148780,58546,69596,20638,0,1549
Dumbreck,Scotland,ScotRail,DUM,148736,63940,68120,16676,0,1550
Thatto Heath,North West,Northern Trains,THH,148722,56242,58804,33676,0,1551
Broughty Ferry,Scotland,ScotRail,BYF,148586,103804,41578,3204,0,1552
St Annes-On-The-Sea,North West,Northern Trains,SAS,147988,24098,114090,9800,0,1553
Patricroft,North West,Northern Trains,PAT,147502,42038,83840,21624,0,1554
Settle,Yorkshire and The Humber,Northern Trains,SET,147464,15052,128244,4168,0,1555
Adderley Park,West Midlands,West Midlands Trains (West Midlands Railway),ADD,147180,63730,54210,29240,0,1556
Pollokshields West,Scotland,ScotRail,PLW,146994,53152,76714,17128,0,1557
Shanklin,South East,South Western Railway (Island Line),SHN,146234,24652,112708,8874,0,1558
Yarm,North East,TransPennine Express,YRM,145970,34050,99628,12292,0,1559
Box Hill and Westhumble,South East,Govia Thameslink Railway (Southern),BXW,145860,26368,112592,6900,0,1560
Hamworthy,South West,South Western Railway,HAM,145478,48574,87808,9096,0,1561
Falmouth Docks,South West,Great Western Railway,FAL,145458,21226,102926,21306,0,1562
St James Park (Exeter),South West,Great Western Railway,SJP,145446,67686,72102,5658,0,1563
Aber,Wales,TfW Rail,ABE,145234,111988,6028,27218,0,1564
Thorpe-le-Soken,East of England,Greater Anglia,TLS,143078,46316,62518,34244,288537,1565
Sandhurst (Berks),South East,Great Western Railway,SND,142410,37490,86154,18766,0,1566
Worplesdon,South East,South Western Railway,WPL,142318,59420,41510,41388,0,1567
Eastbrook,Wales,TfW Rail,EBK,142166,110266,6756,25144,0,1568
Braintree Freeport,East of England,Greater Anglia,BTP,141614,47736,70098,23780,0,1569
Collingham,East Midlands,East Midlands Railway,CLM,141448,124340,6156,10952,0,1570
Sutton Parkway,East Midlands,East Midlands Railway,SPK,141302,84242,37214,19846,0,1571
Castleton (Manchester),North West,Northern Trains,CAS,141112,35564,84650,20898,0,1572
Bedminster,South West,Great Western Railway,BMT,140918,67016,62796,11106,0,1573
Newington,South East,Southeastern,NGT,140788,40768,50472,49548,0,1574
Walton-on-the-Naze,East of England,Greater Anglia,WON,140642,29568,85888,25186,0,1575
Greenford,London,London Underground,GFD,140064,57076,72022,10966,0,1576
West Calder,Scotland,ScotRail,WCL,140058,62666,67288,10104,0,1577
Shawford,South East,South Western Railway,SHW,140042,23628,81410,35004,0,1578
Newton For Hyde,North West,Northern Trains,NWN,139956,56810,49542,33604,0,1579
Bilbrook,West Midlands,West Midlands Trains (West Midlands Railway),BBK,139092,68308,34852,35932,0,1580
Higham,South East,Southeastern,HGM,138280,56338,40306,41636,7,1581
West St Leonards,South East,Southeastern,WLD,138188,30788,63598,43802,0,1582
Nairn,Scotland,ScotRail,NRN,137890,49226,83676,4988,0,1583
Carnoustie,Scotland,ScotRail,CAN,137292,73678,56960,6654,0,1584
Oulton Broad North,East of England,Greater Anglia,OUN,137218,37836,93882,5500,0,1585
Ivybridge,South West,Great Western Railway,IVY,136994,28078,89050,19866,0,1586
West Ruislip,London,London Underground,WRU,136408,49240,75390,11778,9636,1587
Howden,Yorkshire and The Humber,Northern Trains,HOW,135878,21478,105888,8512,0,1588
Codsall,West Midlands,West Midlands Trains (West Midlands Railway),CSL,135854,51080,50802,33972,0,1589
Garswood,North West,Northern Trains,GSW,135728,30574,72394,32760,0,1590
Kirkwood,Scotland,ScotRail,KWD,135706,42120,75580,18006,0,1591
South Milford,Yorkshire and The Humber,Northern Trains,SOM,135578,31544,84744,19290,0,1592
Coventry Arena,West Midlands,West Midlands Trains (West Midlands Railway),CAA,135028,56818,71412,6798,0,1593
Lochwinnoch,Scotland,ScotRail,LHW,134594,45500,69648,19446,0,1594
Hoveton and Wroxham,East of England,Greater Anglia,HXM,134424,42896,81812,9716,0,1595
Whaley Bridge,East Midlands,Northern Trains,WBR,134408,23000,96484,14924,0,1596
Hinton Admiral,South East,South Western Railway,HNA,134158,40980,79390,13788,0,1597
Watlington,East of England,Govia Thameslink Railway (Great Northern),WTG,133888,35514,82920,15454,0,1598
South Wigston,East Midlands,East Midlands Railway,SWS,133846,50326,64442,19078,0,1599
Tywyn,Wales,TfW Rail,TYW,133700,50960,50472,32268,0,1600
Tenby,Wales,TfW Rail,TEN,133446,46098,87052,296,0,1601
Roydon,East of England,Greater Anglia,RYN,133388,64004,46732,22652,0,1602
Rowlands Castle,South East,South Western Railway,RLN,132580,25078,68568,38934,0,1603
Shawlands,Scotland,ScotRail,SHL,132560,45154,72440,14966,0,1604
Radley,South East,Great Western Railway,RAD,131590,34250,81092,16248,0,1605
Micheldever,South East,South Western Railway,MIC,131552,23824,75908,31820,0,1606
Farningham Road,South East,Southeastern,FNR,131516,51296,49888,30332,0,1607
Pitlochry,Scotland,ScotRail,PIT,131400,39704,90156,1540,0,1608
Forres,Scotland,ScotRail,FOR,131372,51610,75918,3844,0,1609
Nitshill,Scotland,ScotRail,NIT,131358,46838,61948,22572,0,1610
Severn Beach,South West,Great Western Railway,SVB,131212,85964,5088,40160,0,1611
Cooden Beach,South East,Govia Thameslink Railway (Southern),COB,131188,26002,85970,19216,0,1612
Lenham,South East,Southeastern,LEN,130998,34612,39410,56976,0,1613
Hale (Manchester),North West,Northern Trains,HAL,130750,38430,62414,29906,0,1614
Mountain Ash,Wales,TfW Rail,MTA,130748,100930,6324,23494,0,1615
Ashington,North East,Northern Trains,ASL,130630,15634,110532,4464,0,1616
Pembrey and Burry Port,Wales,TfW Rail,PBY,130610,55294,61332,13984,0,1617
Broadbottom,North West,Northern Trains,BDB,130298,54656,44872,30770,0,1618
Ryde Esplanade,South East,South Western Railway (Island Line),RYD,130196,22702,99290,8204,0,1619
Mosspark,Scotland,ScotRail,MPK,129970,43436,72346,14188,0,1620
Carmyle,Scotland,ScotRail,CML,129922,41972,66006,21944,0,1621
Dunfermline Queen Margaret,Scotland,ScotRail,DFL,129910,89434,27666,12810,0,1622
Beccles,East of England,Greater Anglia,BCC,129850,33684,88714,7452,0,1623
Needham Market,East of England,Greater Anglia,NMT,129588,53806,52828,22954,0,1624
Ryde Pier Head,South East,South Western Railway (Island Line),RYP,129184,23726,104070,1388,13968,1625
Harlech,Wales,TfW Rail,HRL,129000,24428,20432,84140,0,1626
Brandon,East of England,Greater Anglia,BND,128812,44948,72460,11404,0,1627
Shiplake,South East,Great Western Railway,SHI,128782,53000,55234,20548,0,1628
Chinley,East Midlands,Northern Trains,CLY,128746,44344,62612,21790,6524,1629
Hengoed,Wales,TfW Rail,HNG,128690,98766,5842,24082,0,1630
Machynlleth,Wales,TfW Rail,MCN,128212,50360,77002,850,68832,1631
Lytham,North West,Northern Trains,LTM,128104,18120,104320,5664,0,1632
Aylesbury Vale Parkway,South East,Chiltern Railways,AVP,127578,53494,41460,32624,0,1633
Annan,Scotland,ScotRail,ANN,127412,21466,103686,2260,0,1634
Pontypool and New Inn,Wales,TfW Rail,PPL,127216,71340,27622,28254,0,1635
West Kilbride,Scotland,ScotRail,WKB,126748,40096,77160,9492,0,1636
Woodmansterne,London,Govia Thameslink Railway (Southern),WME,126744,49028,64480,13236,0,1637
Grindleford,East Midlands,Northern Trains,GRN,126460,24402,98212,3846,0,1638
Appley Bridge,North West,Northern Trains,APB,126192,38156,61998,26038,0,1639
Epsom Downs,South East,Govia Thameslink Railway (Southern),EPD,125822,52018,56884,16920,0,1640
Newquay,South West,Great Western Railway,NQY,125534,2176,122712,646,0,1641
South Merton,London,Govia Thameslink Railway (Thameslink),SMO,125436,49524,53806,22106,0,1642
Treorchy,Wales,TfW Rail,TRY,125344,83802,5454,36088,0,1643
Llanharan,Wales,TfW Rail,LLR,125092,75740,29246,20106,0,1644
Halesworth,East of England,Greater Anglia,HAS,124996,32214,79382,13400,0,1645
Pye Corner,Wales,TfW Rail,PYE,124914,106638,3754,14522,0,1646
Kintore,Scotland,ScotRail,KTR,124436,59170,56154,9112,0,1647
Stonegate,South East,Southeastern,SOG,124278,29858,67386,27034,0,1648
Curriehill,Scotland,ScotRail,CUH,124218,67122,45958,11138,0,1649
Thanet Parkway,South East,Southeastern,THP,123724,21498,73594,28632,824,1650
Helsby,North West,TfW Rail,HSB,123710,50202,68862,4646,85005,1651
Aviemore,Scotland,ScotRail,AVM,123654,56280,65702,1672,60,1652
Thurston,East of England,Greater Anglia,TRS,123640,46786,59170,17684,0,1653
Church Stretton,West Midlands,TfW Rail,CTT,123462,56680,50662,16120,0,1654
Bloxwich North,West Midlands,West Midlands Trains (West Midlands Railway),BWN,123090,52246,60050,10794,0,1655
Dormans,South East,Govia Thameslink Railway (Southern),DMS,122678,40898,38236,43544,0,1656
Mansfield Woodhouse,East Midlands,East Midlands Railway,MSW,122546,64248,43140,15158,0,1657
Rhymney,Wales,TfW Rail,RHY,122510,87504,6672,28334,0,1658
Branchton,Scotland,ScotRail,BCN,122300,40722,63626,17952,0,1659
Sherburn-In-Elmet,Yorkshire and The Humber,Northern Trains,SIE,122098,19622,77642,24834,0,1660
Elmswell,East of England,Greater Anglia,ESW,121748,51500,51960,18288,0,1661
Cowdenbeath,Scotland,ScotRail,COW,121674,50392,63900,7382,0,1662
Shieldmuir,Scotland,ScotRail,SDM,121668,46096,59338,16234,0,1663
Kirkby-in-Ashfield,East Midlands,East Midlands Railway,KKB,121654,66020,34564,21070,0,1664
North Queensferry,Scotland,ScotRail,NQU,121520,48506,68202,4812,0,1665
Trefforest Estate,Wales,TfW Rail,TRE,121436,80412,3060,37964,0,1666
Gorebridge,Scotland,ScotRail,GBG,121090,58604,58148,4338,0,1667
Bagshot,South East,South Western Railway,BAG,120552,46294,62722,11536,0,1668
Darton,Yorkshire and The Humber,Northern Trains,DRT,120506,52292,36040,32174,0,1669
Poppleton,Yorkshire and The Humber,Northern Trains,POP,120380,19196,83370,17814,0,1670
Cranbrook (Devon),South West,South Western Railway,CBK,120374,19932,87746,12696,0,1671
Stockton,North East,Northern Trains,STK,120000,18154,92170,9676,0,1672
Rose Hill Marple,North West,Northern Trains,RSH,119744,60950,27158,31636,0,1673
Arnside,North West,Northern Trains,ARN,119618,14336,99846,5436,0,1674
Looe,South West,Great Western Railway,LOO,119600,53428,62454,3718,0,1675
Crews Hill,London,Govia Thameslink Railway (Great Northern),CWH,119492,36692,71908,10892,0,1676
Flixton,North West,Northern Trains,FLI,119346,58066,36416,24864,0,1677
Bare Lane,North West,Northern Trains,BAR,119252,15548,48230,55474,0,1678
Carfin,Scotland,ScotRail,CRF,118882,47094,58268,13520,0,1679
Blackpool Pleasure Beach,North West,Northern Trains,BPB,118576,10086,105864,2626,0,1680
Padgate,North West,Northern Trains,PDG,118198,55980,49234,12984,0,1681
Billingham,North East,Northern Trains,BIL,118110,18032,88020,12058,0,1682
Harwich International,East of England,Greater Anglia,HPQ,117528,40272,51634,25622,3,1683
Ruabon,Wales,TfW Rail,RUA,117454,54474,57300,5680,0,1684
Maryport,North West,Northern Trains,MRY,117158,25430,80506,11222,0,1685
Ford,South East,Govia Thameslink Railway (Southern),FOD,116966,38394,59348,19224,103334,1686
Aberdour,Scotland,ScotRail,AUR,116962,49830,62712,4420,0,1687
Maxwell Park,Scotland,ScotRail,MAX,116450,37862,64704,13884,0,1688
Waun-gron Park,Wales,TfW Rail,WNG,116002,91700,5146,19156,0,1689
Pershore,West Midlands,Great Western Railway,PSH,115878,30986,72102,12790,0,1690
Greenfaulds,Scotland,ScotRail,GRL,115778,42796,57280,15702,0,1691
Fort Matilda,Scotland,ScotRail,FTM,115730,35190,66108,14432,0,1692
Alsager,North West,East Midlands Railway,ASG,115024,73626,30088,11310,0,1693
Whyteleafe South,South East,Govia Thameslink Railway (Southern),WHS,114664,47500,51826,15338,0,1694
Pluckley,South East,Southeastern,PLC,114656,28206,53458,32992,0,1695
Newbury Racecourse,South East,Great Western Railway,NRC,114628,20894,82996,10738,0,1696
Burnley Central,North West,Northern Trains,BNC,114562,32664,57014,24884,6,1697
Bloxwich,West Midlands,West Midlands Trains (West Midlands Railway),BLX,114166,50958,58534,4674,0,1698
Summerston,Scotland,ScotRail,SUM,113996,37434,64830,11732,0,1699
Nelson,North West,Northern Trains,NEL,113780,41540,52084,20156,0,1700
Blackpool South,North West,Northern Trains,BPS,113644,11384,95764,6496,0,1701
Culham,South East,Great Western Railway,CUM,113542,44336,31974,37232,0,1702
Haverfordwest,Wales,TfW Rail,HVF,113300,30978,82166,156,0,1703
Honeybourne,West Midlands,Great Western Railway,HYB,113180,27006,79120,7054,0,1704
Atherstone,West Midlands,West Midlands Trains (London Northwestern Railway),ATH,113120,39774,63384,9962,0,1705
Castle Bar Park,London,Great Western Railway,CBP,112884,47464,59200,6220,0,1706
Frant,South East,Southeastern,FRT,112566,26168,54320,32078,0,1707
Tonypandy,Wales,TfW Rail,TNP,112292,82866,5126,24300,0,1708
Sturry,South East,Southeastern,STU,112180,31458,51406,29316,0,1709
Hathersage,East Midlands,Northern Trains,HSG,112126,27618,82344,2164,0,1710
Wem,West Midlands,TfW Rail,WEM,112096,38612,56896,16588,0,1711
Harwich Town,East of England,Greater Anglia,HWC,112064,23464,52070,36530,0,1712
Wylam,North East,Northern Trains,WYM,110738,15644,80996,14098,0,1713
Wargrave,South East,Great Western Railway,WGV,110690,43486,44220,22984,0,1714
Busby,Scotland,ScotRail,BUS,110486,44076,57412,8998,0,1715
Bentley (Hampshire),South East,South Western Railway,BTY,109846,45894,39860,24092,0,1716
Airbles,Scotland,ScotRail,AIR,109620,40214,56388,13018,0,1717
Shepreth,East of England,Govia Thameslink Railway (Great Northern),STH,109514,33250,58616,17648,0,1718
Halling,South East,Southeastern,HAI,109218,30728,34616,43874,0,1719
Stratford-upon-Avon Parkway,West Midlands,West Midlands Trains (West Midlands Railway),STY,109072,46000,54684,8388,1258,1720
Glasshoughton,Yorkshire and The Humber,Northern Trains,GLH,108944,58758,36192,13994,0,1721
Marsh Barton,South West,Great Western Railway,MBT,108848,46292,51698,10858,0,1722
Ashchurch for Tewkesbury,South West,Great Western Railway,ASC,108740,37362,61724,9654,0,1723
Ashurst New Forest,South East,South Western Railway,ANF,108328,23068,66736,18524,0,1724
Denby Dale,Yorkshire and The Humber,Northern Trains,DBD,107738,23910,69018,14810,0,1725
Chestfield and Swalecliffe,South East,Southeastern,CSW,107718,23404,44452,39862,0,1726
Cleland,Scotland,ScotRail,CEA,107380,43460,54036,9884,0,1727
Seer Green and Jordans,South East,Chiltern Railways,SRG,107334,45092,36768,25474,0,1728
Starcross,South West,Great Western Railway,SCS,107218,59726,30392,17100,0,1729
Chirk,Wales,TfW Rail,CRK,106900,55094,45654,6152,0,1730
Weston Milton,South West,Great Western Railway,WNM,106898,54054,45904,6940,0,1731
Upper Halliford,South East,South Western Railway,UPH,106454,31988,43392,31074,0,1732
Redcar East,North East,Northern Trains,RCE,106420,18344,75676,12400,0,1733
Aylesham,South East,Southeastern,AYH,106320,33196,44688,28436,0,1734
Moston,North West,Northern Trains,MSO,105960,22370,68954,14636,0,1735
Reedham (London),London,Govia Thameslink Railway (Southern),RHM,105708,45904,44184,15620,0,1736
Fairwater,Wales,TfW Rail,FRW,105640,65158,3904,36578,0,1737
Ashburys,North West,Northern Trains,ABY,105284,31750,49114,24420,0,1738
Bryn,North West,Northern Trains,BYN,105238,42270,52838,10130,0,1739
Great Bentley,East of England,Greater Anglia,GRB,105230,26998,45460,32772,0,1740
Birkbeck,London,Govia Thameslink Railway (Southern),BIK,105178,47602,41252,16324,0,1741
Abergele and Pensarn,Wales,TfW Rail,AGL,104922,39838,59392,5692,0,1742
Plumpton,South East,Govia Thameslink Railway (Southern),PMP,104762,21314,64040,19408,0,1743
Gleneagles,Scotland,ScotRail,GLE,104594,31744,70336,2514,0,1744
Pyle,Wales,TfW Rail,PYL,104258,56688,35614,11956,0,1745
Blythe Bridge,West Midlands,East Midlands Railway,BYB,103852,46542,36268,21042,0,1746
Cattal,Yorkshire and The Humber,Northern Trains,CTL,103416,12932,67746,22738,0,1747
Brundall,East of England,Greater Anglia,BDA,103312,36128,59140,8044,1154,1748
Chartham,South East,Southeastern,CRT,102986,38498,46092,18396,0,1749
Barrow-Upon-Soar,East Midlands,East Midlands Railway,BWS,101842,44900,36116,20826,0,1750
Lymington Pier,South East,South Western Railway,LYP,100770,18244,69514,13012,0,1751
Porthmadog,Wales,TfW Rail,PTM,100700,37642,41510,21548,0,1752
Great Chesterford,East of England,Greater Anglia,GRC,100560,31688,41580,27292,0,1753
Langley Mill,East Midlands,East Midlands Railway,LGM,100238,59868,33002,7368,0,1754
Bedwyn,South West,Great Western Railway,BDW,99948,15066,62972,21910,0,1755
Craven Arms,West Midlands,TfW Rail,CRV,99908,41156,43326,15426,1368,1756
Allens West,North East,Northern Trains,ALW,99646,28410,53158,18078,0,1757
Stevenston,Scotland,ScotRail,STV,99624,31514,61006,7104,0,1758
Selling,South East,Southeastern,SEG,99572,41410,39608,18554,0,1759
Buxted,South East,Govia Thameslink Railway (Southern),BXD,99310,30856,44686,23768,0,1760
Cartsdyke,Scotland,ScotRail,CDY,99116,31392,55912,11812,0,1761
Foxton,East of England,Govia Thameslink Railway (Great Northern),FXN,98982,37420,40954,20608,0,1762
Harrietsham,South East,Southeastern,HRM,98904,24664,32596,41644,0,1763
Bargeddie,Scotland,ScotRail,BGI,98846,33510,50852,14484,0,1764
Parbold,North West,Northern Trains,PBL,98762,33604,45696,19462,0,1765
Wilnecote (Staffs),West Midlands,West Midlands Trains (West Midlands Railway),WNE,98734,63160,20760,14814,0,1766
Pontefract Tanshelf,Yorkshire and The Humber,Northern Trains,POT,98558,49450,36358,12750,0,1767
Pwllheli,Wales,TfW Rail,PWL,98420,28752,48586,21082,0,1768
Seaton Carew,North East,Northern Trains,SEC,98362,17948,67356,13058,0,1769
Hope (Derbyshire),East Midlands,Northern Trains,HOP,97946,25852,66848,5246,0,1770
Orrell,North West,Northern Trains,ORR,97674,35196,32548,29930,0,1771
Kinghorn,Scotland,ScotRail,KGH,97662,46044,45890,5728,0,1772
Coulsdon Town,London,Govia Thameslink Railway (Southern),CDN,97562,32982,54662,9918,0,1773
Fishersgate,South East,Govia Thameslink Railway (Southern),FSG,97326,34746,46782,15798,0,1774
Alresford (Essex),East of England,Greater Anglia,ALR,97088,24250,43452,29386,0,1775
Dorchester West,South West,Great Western Railway,DCW,96844,20828,73042,2974,0,1776
Navigation Road,North West,Northern Trains,NVR,96498,36836,40386,19276,0,1777
Blakedown,West Midlands,West Midlands Trains (West Midlands Railway),BKD,96472,24688,14422,57362,0,1778
Conisbrough,Yorkshire and The Humber,Northern Trains,CNS,96416,23182,61392,11842,0,1779
Haltwhistle,North East,Northern Trains,HWH,96252,15680,73882,6690,0,1780
